annee,dept,dept_lib,type_lgt,log_aut,log_com
2011,75,Paris,Collectif,7976,2734
2011,75,Paris,Indiv_groupe,1056,22
2011,75,Paris,Indiv_pur,200,112
2011,75,Paris,Residence,4704,1938
2011,75,Paris,Tous,13936,4806
2011,77,Seine-et-Marne,Collectif,5970,4288
2011,77,Seine-et-Marne,Indiv_groupe,1443,1161
2011,77,Seine-et-Marne,Indiv_pur,1934,1514
2011,77,Seine-et-Marne,Residence,469,13
2011,77,Seine-et-Marne,Tous,9816,6976
2011,78,Yvelines,Collectif,5824,4133
2011,78,Yvelines,Indiv_groupe,1040,1238
2011,78,Yvelines,Indiv_pur,1214,977
2011,78,Yvelines,Residence,470,525
2011,78,Yvelines,Tous,8548,6873
2011,91,Essonne,Collectif,6354,5267
2011,91,Essonne,Indiv_groupe,863,711
2011,91,Essonne,Indiv_pur,1215,878
2011,91,Essonne,Residence,473,376
2011,91,Essonne,Tous,8905,7232
2011,92,Hauts-de-Seine,Collectif,8275,3863
2011,92,Hauts-de-Seine,Indiv_groupe,552,712
2011,92,Hauts-de-Seine,Indiv_pur,253,204
2011,92,Hauts-de-Seine,Residence,521,257
2011,92,Hauts-de-Seine,Tous,9601,5036
2011,93,Seine-Saint-Denis,Collectif,9334,6506
2011,93,Seine-Saint-Denis,Indiv_groupe,409,306
2011,93,Seine-Saint-Denis,Indiv_pur,449,277
2011,93,Seine-Saint-Denis,Residence,1596,1553
2011,93,Seine-Saint-Denis,Tous,11788,8642
2011,94,Val-de-Marne,Collectif,6453,3222
2011,94,Val-de-Marne,Indiv_groupe,673,597
2011,94,Val-de-Marne,Indiv_pur,420,254
2011,94,Val-de-Marne,Residence,1001,780
2011,94,Val-de-Marne,Tous,8547,4853
2011,95,Val-d Oise,Collectif,5069,3503
2011,95,Val-d Oise,Indiv_groupe,627,471
2011,95,Val-d Oise,Indiv_pur,939,626
2011,95,Val-d Oise,Residence,422,116
2011,95,Val-d Oise,Tous,7057,4716
2012,75,Paris,Collectif,9222,6600
2012,75,Paris,Indiv_groupe,82,38
2012,75,Paris,Indiv_pur,140,106
2012,75,Paris,Residence,1384,1304
2012,75,Paris,Tous,10828,8048
2012,77,Seine-et-Marne,Collectif,5365,3949
2012,77,Seine-et-Marne,Indiv_groupe,1552,669
2012,77,Seine-et-Marne,Indiv_pur,1770,1373
2012,77,Seine-et-Marne,Residence,470,520
2012,77,Seine-et-Marne,Tous,9157,6511
2012,78,Yvelines,Collectif,6201,4082
2012,78,Yvelines,Indiv_groupe,804,680
2012,78,Yvelines,Indiv_pur,1101,918
2012,78,Yvelines,Residence,976,231
2012,78,Yvelines,Tous,9082,5911
2012,91,Essonne,Collectif,5918,4339
2012,91,Essonne,Indiv_groupe,794,737
2012,91,Essonne,Indiv_pur,1167,810
2012,91,Essonne,Residence,1773,703
2012,91,Essonne,Tous,9652,6589
2012,92,Hauts-de-Seine,Collectif,7456,6664
2012,92,Hauts-de-Seine,Indiv_groupe,375,377
2012,92,Hauts-de-Seine,Indiv_pur,227,181
2012,92,Hauts-de-Seine,Residence,1545,967
2012,92,Hauts-de-Seine,Tous,9603,8189
2012,93,Seine-Saint-Denis,Collectif,9544,6536
2012,93,Seine-Saint-Denis,Indiv_groupe,489,299
2012,93,Seine-Saint-Denis,Indiv_pur,469,238
2012,93,Seine-Saint-Denis,Residence,1919,1589
2012,93,Seine-Saint-Denis,Tous,12421,8662
2012,94,Val-de-Marne,Collectif,7016,5405
2012,94,Val-de-Marne,Indiv_groupe,399,394
2012,94,Val-de-Marne,Indiv_pur,357,238
2012,94,Val-de-Marne,Residence,1319,296
2012,94,Val-de-Marne,Tous,9091,6333
2012,95,Val-d Oise,Collectif,5974,4206
2012,95,Val-d Oise,Indiv_groupe,749,671
2012,95,Val-d Oise,Indiv_pur,874,556
2012,95,Val-d Oise,Residence,294,353
2012,95,Val-d Oise,Tous,7891,5786
2013,75,Paris,Collectif,4572,5098
2013,75,Paris,Indiv_groupe,56,72
2013,75,Paris,Indiv_pur,388,88
2013,75,Paris,Residence,922,2046
2013,75,Paris,Tous,5938,7304
2013,77,Seine-et-Marne,Collectif,6366,4265
2013,77,Seine-et-Marne,Indiv_groupe,1006,805
2013,77,Seine-et-Marne,Indiv_pur,1466,1219
2013,77,Seine-et-Marne,Residence,1050,104
2013,77,Seine-et-Marne,Tous,9888,6393
2013,78,Yvelines,Collectif,5475,5138
2013,78,Yvelines,Indiv_groupe,714,785
2013,78,Yvelines,Indiv_pur,1070,816
2013,78,Yvelines,Residence,675,1202
2013,78,Yvelines,Tous,7934,7941
2013,91,Essonne,Collectif,7322,5574
2013,91,Essonne,Indiv_groupe,575,477
2013,91,Essonne,Indiv_pur,1099,784
2013,91,Essonne,Residence,594,535
2013,91,Essonne,Tous,9590,7370
2013,92,Hauts-de-Seine,Collectif,7804,5173
2013,92,Hauts-de-Seine,Indiv_groupe,261,461
2013,92,Hauts-de-Seine,Indiv_pur,208,158
2013,92,Hauts-de-Seine,Residence,855,471
2013,92,Hauts-de-Seine,Tous,9128,6263
2013,93,Seine-Saint-Denis,Collectif,6896,6562
2013,93,Seine-Saint-Denis,Indiv_groupe,409,245
2013,93,Seine-Saint-Denis,Indiv_pur,399,209
2013,93,Seine-Saint-Denis,Residence,762,477
2013,93,Seine-Saint-Denis,Tous,8466,7493
2013,94,Val-de-Marne,Collectif,3890,4673
2013,94,Val-de-Marne,Indiv_groupe,213,220
2013,94,Val-de-Marne,Indiv_pur,348,224
2013,94,Val-de-Marne,Residence,724,1138
2013,94,Val-de-Marne,Tous,5175,6255
2013,95,Val-d Oise,Collectif,4579,3344
2013,95,Val-d Oise,Indiv_groupe,452,191
2013,95,Val-d Oise,Indiv_pur,718,539
2013,95,Val-d Oise,Residence,392,145
2013,95,Val-d Oise,Tous,6141,4219
2014,75,Paris,Collectif,6294,4274
2014,75,Paris,Indiv_groupe,48,174
